name,sentiment_score,sentiment_label,ppg,rpg,apg,image_url,correlation
Alperen Sengun,0.1291504957431442,Positive,21.1,9.3,5.0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630578.png,0.0002708229345352
Tyrese Maxey,0.1253634722587386,Positive,25.9,3.7,6.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630178.png,-0.017105578369042
Stephen Curry,0.1247565950239037,Positive,26.4,4.5,5.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,0.0983082302805616
Jaden McDaniels,0.1121817502853834,Positive,10.5,3.1,1.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630183.png,-0.0136975813167323
Austin Reaves,0.1083021157520248,Positive,15.9,4.3,5.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,0.1480544700126192
Michael Porter Jr.,0.1065231476296491,Positive,16.7,7.0,1.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629008.png,0.1408898887722791
Nikola Jokic,0.1053454539794315,Positive,26.4,12.4,9.0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203999.png,0.0595342184023435
Aaron Gordon,0.1029394938957129,Positive,13.9,6.5,3.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,-0.0409398492081491
Victor Wembanyama,0.0978044485357605,Positive,21.4,10.6,3.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641705.png,0.0747438638743249
Jrue Holiday,0.0964086755983192,Positive,12.5,5.4,4.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png,-0.2549720847609704
LeBron James,0.0848064117781494,Positive,25.7,7.3,8.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png,0.1945326008467453
Tyler Herro,0.0748308795397128,Positive,20.8,5.3,4.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629639.png,-0.0425609189227966
Cade Cunningham,0.0700468410584099,Positive,22.7,4.3,7.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png,0.1092282013390568
Luka Doncic,0.06602515470457532,Positive,33.9,9.2,9.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png,0.03830824985994326
De'aaron Fox,0.054197261965758,Positive,26.6,4.6,5.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,0.0670850945400175
Domantas Sabonis,0.0449433770432805,Positive,19.4,13.7,8.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png,0.0348630439307673
Bam Adebayo,0.0431674410123378,Positive,19.3,10.4,3.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,0.0446422233151609
Anthony Edwards,0.0272121524816974,Positive,25.9,5.4,5.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png,-0.0810002634458542
Joel Embiid,0.000176853468192,Positive,34.7,11.0,5.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,0.3022426452237043
Jaylen Brown,-0.0055220572070942,Negative,23.0,5.5,3.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png,-0.086391433421592
Jamal Murray,-0.0160103101173744,Negative,21.2,4.1,6.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627750.png,0.1336591066364305
Jimmy Butler,-0.0223449141870248,Negative,20.8,5.3,5.0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png,0.0164492995687904
Kawhi Leonard,-0.0313476748456845,Negative,23.7,6.1,3.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png,0.2116891553660842
Anthony Davis,-0.0479293237595508,Negative,24.7,12.6,3.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png,0.0607727277488729
James Harden,-0.0780094865792327,Negative,16.6,5.1,8.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png,0.0589009937270127
Kevin Durant,-0.0817377987938622,Negative,27.1,6.6,5.0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png,0.0541510093178347
Kyrie Irving,-0.0894424190744757,Negative,25.6,5.0,5.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202681.png,0.0756375802990329
